iter	RMSE
145	5.463518358
146	5.438060198
147	5.427331721
148	5.411585931
149	5.395782066
150	5.372150078
151	5.361502046
152	5.348230739
153	5.341599606
154	5.332332118
155	5.323924419
156	5.30603083
157	5.293936705
158	5.272360282
159	5.256948153
160	5.244377576
161	5.233311842
162	5.225575634
163	5.220572513
164	5.210670004
165	5.194780075
166	5.185550786
167	5.176326327
168	5.162390145
169	5.139390459
170	5.132281158
171	5.121682119
172	5.115749286
173	5.104554805
174	5.094006783
175	5.085132029
176	5.075394283
177	5.063335431
178	5.044986276
179	5.03689139
180	5.022699904
181	5.013825898
182	5.007160728
183	4.998945994
184	4.986582043
185	4.969023993
186	4.96366026
187	4.957228741
188	4.949518676
189	4.940735696
190	4.930609257
191	4.918705917
192	4.911460707
193	4.907372627
194	4.895723968
195	4.885419795
196	4.873776908
197	4.863199908
198	4.851209564
199	4.847150028
200	4.837290606
201	4.827658058
202	4.824130853
203	4.820242237
204	4.815705126
205	4.807357685
206	4.792466522
207	4.778441323
208	4.768761751
209	4.76543542
210	4.757232188
211	4.742750295
212	4.738086535
213	4.727281081
214	4.717816855
215	4.70887042
216	4.699762315
217	4.689484869
218	4.678423823
219	4.670134304
220	4.662467369
221	4.654149587
222	4.64677476
223	4.636725463
224	4.632938804
225	4.627883148
226	4.622180996
227	4.613948809
228	4.599181449
229	4.590178788
230	4.582461626
231	4.574328655
232	4.571329819
233	4.570231576
234	4.564500341
235	4.557318969
236	4.553609192
237	4.547814023
238	4.538882132
239	4.537844286
240	4.536840365
241	4.530354986
242	4.52103306
243	4.518287214
244	4.506086318
245	4.495889785
246	4.492274983
247	4.484207549
248	4.483386493
249	4.476607604
250	4.470192897
251	4.465005897
252	4.4613455
253	4.460585589
254	4.449690436
255	4.440177109
256	4.432730617
257	4.42608038
258	4.419911454
259	4.414787505
260	4.407303578
261	4.397097334
262	4.394681448
263	4.385540092
264	4.376384072
265	4.373995338
266	4.364214281
267	4.35345773
268	4.344744665
269	4.338873147
270	4.332390042
271	4.32987836
272	4.329133512
273	4.325021073
274	4.32229006
275	4.321444977
276	4.317488179
277	4.311327152
278	4.307385047
279	4.306525858
280	4.298180187
281	4.29052927
282	4.283339852
283	4.279262738
284	4.278575712
285	4.27705176
286	4.274067055
287	4.269168518
288	4.265887387
289	4.261981727
290	4.258017974
291	4.255556667
292	4.251392078
293	4.246577324
294	4.239217393
295	4.230184395
296	4.22505784
297	4.221422195
298	4.217666699
299	4.212381289
300	4.204548055
301	4.200312884
302	4.197686545
303	4.194334272
304	4.187629374
305	4.178015042
306	4.175528368
307	4.173708241
308	4.17153315
309	4.169244991
310	4.167653713
311	4.165172089
312	4.162181087
313	4.153735529
314	4.148301861
315	4.143977234
316	4.141479981
317	4.13502274
318	4.132107731
319	4.125252888
320	4.120484687
321	4.109433
322	4.103109416
323	4.094383927
324	4.092241673
325	4.087458628
326	4.084589422
327	4.081196135
328	4.069931674
329	4.067700312
330	4.060084207
331	4.057625519
332	4.05145299
333	4.047592521
334	4.041886767
335	4.031985644
336	4.025096979
337	4.018954188
338	4.016536722
339	4.010894677
340	4.007358897
341	4.004308282
342	4.000608808
343	3.996198677
344	3.992687185
345	3.986947786
346	3.982168237
347	3.979470495
348	3.976458148
349	3.973587645
350	3.969212357
351	3.963928308
352	3.961155659
353	3.957998785
354	3.952122168
355	3.950919826
356	3.947647402
357	3.94658427
358	3.939155155
359	3.936256084
360	3.932668643
361	3.927374902
362	3.924773979
363	3.921546824
364	3.915096162
365	3.911456317
366	3.907547482
367	3.907385795
368	3.906879322
369	3.899290644
370	3.893645741
371	3.891134284
372	3.886826393
373	3.88472479
374	3.880986617
375	3.876549809
376	3.871033507
377	3.868818482
378	3.866809585
379	3.864522881
380	3.858166291
381	3.856259602
382	3.851893491
383	3.846484996
384	3.844451013
385	3.840609323
386	3.833830566
387	3.829154674
388	3.825204628
389	3.821470882
390	3.817149597
391	3.8117291
392	3.807988861
393	3.805302775
394	3.802797101
395	3.79858755
396	3.79792529
397	3.796855061
398	3.795852064
399	3.79258008
400	3.789901466
401	3.786476691
402	3.784649421
403	3.784138391
404	3.781096495
405	3.779226851
406	3.777665024
407	3.775223425
408	3.769217269
409	3.766316052
410	3.764717995
411	3.760424663
412	3.758517511
413	3.755175996
414	3.741990153
415	3.740973954
416	3.739053802
417	3.738904907
418	3.736295721
419	3.728319019
420	3.725423852
421	3.720614009
422	3.71676786
423	3.71651753
424	3.71336303
425	3.708366394
426	3.705159058
427	3.702819478
428	3.701415905
429	3.698943848
430	3.693436008
431	3.689456581
432	3.686599562
433	3.684236849
434	3.68077919
435	3.676608153
436	3.674993675
437	3.668314694
438	3.663743678
439	3.658967569
440	3.656978748
441	3.652969083
442	3.649548964
443	3.649433256
444	3.649340637
445	3.644535425
446	3.643018005
447	3.64139718
448	3.637790212
449	3.634665947
450	3.628849325
451	3.62870187
452	3.627270152
453	3.624339598
454	3.622997177
455	3.621342837
456	3.61736187
457	3.61604004
458	3.613836902
459	3.611791891
460	3.609415279
461	3.608207722
462	3.605895707
463	3.603389185
464	3.602646549
465	3.597904007
466	3.594020068
467	3.588840814
468	3.588040957
469	3.587973426
470	3.586860929
471	3.585115153
472	3.585049997
473	3.584983316
474	3.583967076
475	3.583906431
476	3.579899194
477	3.575969861
478	3.574267838
479	3.573862852
480	3.573270265
481	3.572240702
482	3.567051569
483	3.564818948
484	3.55988347
485	3.558193811
486	3.557273814
487	3.555246898
488	3.553413748
489	3.550306409
490	3.547648425
491	3.54645975
492	3.54288757
493	3.541596074
494	3.540085591
495	3.537911587
496	3.537102832
497	3.533396126
498	3.531793349
499	3.527121744
500	3.523658162
501	3.520333857
502	3.517644785
503	3.516709035
504	3.515264891
505	3.514122193
506	3.512366234
507	3.51006225
508	3.509690285
509	3.505789218
510	3.502432373
511	3.502377569
512	3.501161697
513	3.501115021
514	3.498578104
515	3.494963025
516	3.493148995
517	3.490497761
518	3.485040254
519	3.482931036
520	3.482802001
521	3.482106884
522	3.482064404
523	3.479548658
524	3.476938386
525	3.473727287
526	3.470549857
527	3.469406885
528	3.468321957
529	3.463254512
530	3.461000555
531	3.458894794
532	3.457434809
533	3.45307159
534	3.447599888
535	3.443935294
536	3.44329594
537	3.441844898
538	3.439798509
539	3.437928431
540	3.435168276
541	3.432754901
542	3.428712023
543	3.427559298
544	3.425798275
545	3.42322935
546	3.420910216
547	3.417552433
548	3.415546231
549	3.413378308
550	3.412180229
551	3.410049057
552	3.408297991
553	3.407031209
554	3.403965648
555	3.40076766
556	3.396869682
557	3.394610857
558	3.391446628
559	3.388607381
560	3.38663119
561	3.384431242
562	3.382337946
563	3.381499434
564	3.378995709
565	3.374919275
566	3.372422638
567	3.37060627
568	3.369354593
569	3.367227449
570	3.366052363
571	3.365816904
572	3.364155699
573	3.361174032
574	3.359035841
575	3.354243801
576	3.350518828
577	3.34729141
578	3.344145124
579	3.340510391
580	3.338194028
581	3.336423988
582	3.334034474
583	3.331079162
584	3.329118355
585	3.325521924
586	3.312977374
587	3.312855862
588	3.312730235
589	3.30961019
590	3.309499175
591	3.306540111
592	3.304938879
593	3.301889521
594	3.30074985
595	3.298330845
596	3.296806522
597	3.295744511
598	3.295638755
599	3.294344107
600	3.292112349
601	3.290615271
602	3.288377434
603	3.286630068
604	3.282932022
605	3.280365554
606	3.278925679
607	3.278827537
608	3.278036605
609	3.276844192
610	3.275377436
611	3.273411842
612	3.271974289
613	3.27014544
614	3.268584816
615	3.268551064
616	3.266674108
617	3.264095812
618	3.263306894
619	3.261738014
620	3.259752703
621	3.259396699
622	3.258855156
623	3.253183976
624	3.253151047
625	3.247627863
626	3.247573691
627	3.247286894
628	3.245295693
629	3.244295588
630	3.242741075
631	3.242435089
632	3.240762532
633	3.237565116
634	3.237310727
635	3.236344988
636	3.231449132
637	3.229682817
638	3.22778989
639	3.227119466
640	3.225281617
641	3.222548464
642	3.221977425
643	3.219976178
644	3.215056725
645	3.21430684
646	3.210717062
647	3.209081546
648	3.207259417
649	3.205688803
650	3.202400332
651	3.201113135
652	3.200025107
653	3.198128352
654	3.19602166
655	3.195236701
656	3.193780813
657	3.193579439
658	3.193049396
659	3.192203923
660	3.190954155
661	3.189132044
662	3.187868612
663	3.1851695
664	3.184201293
665	3.182202485
666	3.179646403
667	3.176530121
668	3.175543672
669	3.173649214
670	3.168160192
671	3.16740078
672	3.166923637
673	3.165302633
674	3.1645679
675	3.162641535
676	3.161382947
677	3.159749344
678	3.157701786
679	3.155711796
680	3.154311161
681	3.151945937
682	3.150921112
683	3.149983062
684	3.146593591
685	3.14465334
686	3.143590159
687	3.14180688
688	3.139710516
689	3.135926853
690	3.13444437
691	3.131989568
692	3.130938006
693	3.127651755
694	3.126601774
695	3.126173714
696	3.123610939
697	3.122177468
698	3.121587579
699	3.11902955
700	3.116608884
701	3.1163802
702	3.115789187
703	3.114641666
704	3.114450928
705	3.11233199
706	3.109014477
707	3.108226629
708	3.107256875
709	3.106325311
710	3.105751231
711	3.104756109
712	3.103749486
713	3.102880237
714	3.099893771
715	3.098568982
716	3.097998221
717	3.096174674
718	3.094812741
719	3.094203992
720	3.092185551
721	3.091282687
722	3.089799651
723	3.089655658
724	3.088486885
725	3.087332125
726	3.082128411
727	3.081707416
728	3.079953672
729	3.076673669
730	3.075090283
731	3.074858197
732	3.07135292
733	3.070404985
734	3.070182979
735	3.069450676
736	3.069415644
737	3.066249952
738	3.065394388
739	3.06274939
740	3.060561621
741	3.059745556
742	3.058960957
743	3.057390562
744	3.055911868
745	3.0557557
746	3.054319485
747	3.053033097
748	3.052652982
749	3.050042196
750	3.048928079
751	3.047341264
752	3.045167965
753	3.041765835
754	3.040865289
755	3.039558254
756	3.037905077
757	3.036953259
758	3.033679084
759	3.033654686
760	3.028540868
761	3.027155916
762	3.026070151
763	3.024399455
764	3.023980068
765	3.023404051
766	3.022272608
767	3.020367207
768	3.019703673
769	3.019560463
770	3.018823884
771	3.017786032
772	3.015843143
773	3.013377359
774	3.011035137
775	3.009588409
776	3.008025957
777	3.00789394
778	3.006486396
779	3.005100298
780	3.004736285
781	3.003049518
782	3.001972026
783	3.000890759
784	3.000209245
785	2.999179014
786	2.998133411
787	2.996879413
788	2.994597368
789	2.992720827
790	2.992420359
791	2.99101988
792	2.990628539
793	2.987029643
794	2.985427705
795	2.984342283
796	2.984156739
797	2.983937775
798	2.983328004
799	2.980053729
800	2.979696189
801	2.978130661
802	2.97345916
803	2.971624038
804	2.970449312
805	2.969228449
806	2.967577906
807	2.965969384
808	2.96451444
809	2.964379592
810	2.963805725
811	2.962270134
812	2.962038975
813	2.960681797
814	2.959438899
815	2.958637476
816	2.957719267
817	2.95600515
818	2.954890805
819	2.952855322
820	2.952568676
821	2.951597915
822	2.950942648
823	2.950688565
824	2.950126758
825	2.949857362
826	2.944645752
827	2.943167832
828	2.922263425
829	2.919395624
830	2.919249303
831	2.919067311
832	2.916467301
833	2.914360639
834	2.91365817
835	2.913355209
836	2.912091165
837	2.909653272
838	2.909166958
839	2.907920222
840	2.907692818
841	2.907317227
842	2.904026793
843	2.903750058
844	2.902456564
845	2.901456083
846	2.900937125
847	2.898835392
848	2.894844786
849	2.893377443
850	2.892070021
851	2.890504444
852	2.88996313
853	2.889051116
854	2.886610475
855	2.88344382
856	2.882069454
857	2.88083168
858	2.880816812
859	2.8798854
860	2.877624911
861	2.877080105
862	2.876982685
863	2.876026004
864	2.87394633
865	2.873369318
866	2.871932216
867	2.871916383
868	2.870780766
869	2.869858509
870	2.869726058
871	2.868597256
872	2.867375056
873	2.867282361
874	2.86638022
875	2.865689283
876	2.863522628
877	2.861452998
878	2.860121743
879	2.859751542
880	2.858168497
881	2.856513654
882	2.855452121
883	2.854674488
884	2.853619261
885	2.852784794
886	2.852490453
887	2.851741614
888	2.850635199
889	2.848558862
890	2.847451658
891	2.846933448
892	2.845716804
893	2.842866623
894	2.841314836
895	2.840231042
896	2.838719144
897	2.83764862
898	2.836716021
899	2.836431586
